5	4	9	7	14	13	12	2	16	3	11	20	10	1	6	15	19	18	8	17
20	10	16	17	11	1	2	13	4	3	5	7	14	6	8	19	15	12	9	18
20	10	2	6	5	14	16	17	3	12	13	7	1	19	8	11	9	18	15	4
13	8	6	9	5	1	16	4	10	14	15	7	20	18	3	2	12	17	19	11
1	6	2	16	8	18	11	10	9	19	20	14	15	17	4	3	7	12	13	5
15	7	3	18	6	2	12	14	11	1	17	5	8	19	4	20	10	9	13	16
11	20	16	18	13	14	19	6	3	7	5	4	17	10	9	15	1	2	8	12
9	10	6	13	5	14	17	19	16	20	1	18	3	7	4	12	11	2	8	15
19	17	9	12	3	5	11	10	4	14	2	7	8	20	18	16	13	6	1	15
5	10	19	15	11	12	16	20	8	9	7	2	4	13	6	17	14	18	3	1
17	3	20	16	6	14	11	2	12	9	1	5	4	13	10	15	18	19	8	7
19	6	5	16	10	20	2	15	8	3	17	9	14	13	7	18	1	4	12	11
6	15	11	2	13	3	17	18	12	5	14	20	1	9	10	4	16	8	19	7
14	2	7	11	17	3	10	12	18	6	15	9	4	19	16	20	8	1	5	13
10	9	16	1	3	14	8	2	7	5	15	19	6	12	20	17	11	4	18	13
15	14	9	5	17	10	7	13	18	3	8	16	19	1	11	4	12	2	20	6
7	1	14	3	19	15	16	18	8	11	5	2	4	9	10	6	13	17	12	20
19	13	8	2	1	3	20	14	7	6	11	18	16	15	10	5	4	9	17	12
16	10	17	2	5	18	19	12	15	20	1	9	7	4	8	14	3	6	13	11
17	1	18	8	2	7	10	15	5	12	9	14	6	20	11	13	4	3	16	19
