15,12,16,14,19,1,18,17,10,9,3,13,4,7,2,5,8,11,20,6
8,19,20,9,16,18,14,5,10,4,15,7,3,17,11,6,2,1,13,2
10,15,8,12,17,11,16,5,20,7,13,1,3,14,18,9,6,19,17,11
4,12,13,10,18,6,7,8,2,3,14,20,19,16,9,15,5,9,8,11
12,17,13,10,1,2,6,16,4,14,5,20,7,19,15,18,19,8,7,13
3,12,16,20,10,17,4,5,15,2,6,1,11,9,14,7,17,12,14,16
2,9,10,18,8,15,4,5,19,13,6,3,20,1,5,12,14,15,2,20
4,13,1,10,6,19,16,8,11,18,3,7,17,5,7,10,4,18,13,8
20,9,3,15,2,6,19,17,12,16,14,11,5,6,13,20,10,8,17,4
1,12,3,11,18,9,7,2,14,19,16,11,1,17,15,10,18,2,16,4
13,6,19,12,7,20,5,14,8,9,5,9,1,2,17,10,20,6,3,18
7,14,16,8,13,4,12,19,11,8,10,14,20,12,19,2,17,6,18,15
9,5,4,16,11,1,13,7,7,5,12,3,9,14,8,13,17,4,2,16
11,1,15,20,19,10,6,8,2,13,12,18,9,7,20,19,5,17,10,1
3,16,6,14,4,11,2,11,15,14,16,3,12,19,7,17,9,4,18,6
20,5,10,1,13,14,15,2,19,3,12,7,11,4,10,20,16,17,5,1
8,18,13,6,14,19,7,18,8,2,5,11,6,13,3,17,15,10,12,4
9,16,1,16,6,19,11,14,18,4,20,10,2,5,17,12,1,7,13,3
15,8,11,20,7,5,13,14,6,4,19,10,15,3,2,1,9,8,17,12
18,5,20,20,13,1,15,11,9,19,5,17,19,6,14,10,15,7,19,16
4,10,10,8,6,7,20,10,17,10,3,6,15,2,9,14,1,13,10,1
16,2,6,2,3,16,6,9,19,20,5,11,7,16,9,14,8,17,18,7
6,9,16,18,18,13,12,15,16,16,2,11,1,5,3,2,2,8,14,11
5,8,6,13,5,3,11,6,10,13,17,3,17,19,1,5,2,13,1,14
18,2,14,14,5,12,14,20,3,3,14,10,15,3,18,7,12,2,16,16
12,19,17,11,16,11,2,17,10,8,7,16,20,19,10,2,13,17,4,10
6,19,10,20,2,15,18,12,2,13,18,14,12,15,16,4,3,10,9,11
16,4,8,12,8,12,18,7,18,8,7,15,5,3,3,12,14,19,1,7
14,9,9,3,5,6,5,3,11,6,20,12,11,5,13,15,20,17,5,1
7,1,17,14,15,15,8,5,11,1,9,20,7,7,7,14,5,4,18,7
5,9,20,9,19,16,2,18,9,14,10,14,1,20,15,8,17,3,8,4
14,1,4,6,19,4,16,7,6,1,6,19,18,17,19,10,7,20,13,13
9,19,12,1,9,15,4,20,6,8,8,3,4,4,9,4,18,6,10,7
16,20,11,10,10,8,11,15,19,11,2,3,20,15,12,16,17,15,18,4
17,4,6,5,14,13,19,15,9,12,7,10,1,11,13,14,18,1,16,8
12,13,4,3,4,18,12,18,17,12,9,2,2,6,18,19,4,8,1,4
17,9,6,3,8,9,15,19,13,13,8,8,1,3,8,12,19,5,18,20
17,13,16,17,18,4,11,5,16,12,15,15,1,7,11,7,13,13,6,20
